title,source_title,year,oa_status_september,oa_status_october,DOI
High sensitivity hexagonal boron nitride lateral neutron detectors,Applied Physics Letters,2019,Closed,"All Open Access, Green",10.1063/1.5098331
Space Colonization and Existential Risk,Journal of the American Philosophical Association,2019,Closed,"All Open Access, Green",10.1017/apa.2019.12
Decisión 2016: Comparative Analysis of Journalistic Role Performance on Spanish- and English-language TV Networks,Journalism Practice,2020,Closed,"All Open Access, Green",10.1080/17512786.2019.1625718
On ambitious higher-order theories of consciousness,Philosophical Psychology,2020,Closed,"All Open Access, Green",10.1080/09515089.2020.1731445
