Page,Pageviews,Avg. Time on Page,Year,Name
/library/make/resources.php,160,85.18,2020,make resources
/library/arch/index.php,157,119.8,2020,Arch Lib
/library/search_engines/electronic_resources/scifinder_web.php,154,200.41,2020,scifinder_web
/library/about/facility/maps/mezzanine.php,153,26.92,2020,maps mezz
/library/about/admin/mission.php,150,62.29,2020,Mission
/library/building/floorplans.php,149,113.96,2020,floor plan
/library/studyspaces/,149,97.83,2020,Study Spaces
/library/dms/equipment/gopro.php,139,141.6,2020,equip_gopro
/library/dms/equipment/noncirc.php,136,31.75,2020,equip_noncirc
/library/circulation/visitors.php,135,105.45,2020,Visitors
/library/coursereserve/,135,104.59,2020,Course Reserves
/library/make/print.php,134,45.22,2020,make print
/library/user-experience/,132,66.25,2020,UX
/library/about/staff/quinn-brian/index.php,131,253.67,2020,Staff
/library/circulation/overdue_lost_items.php,129,102.77,2020,overdue lost items
/library/about/staff/gerlich-bella-karr/index.php,128,42.04,2020,Staff
/library/help/dis_learn.php,124,102.93,2020,dis learners
/library/alerts/,123,106.14,2020,alerts
/library/building/building-srv-request.php,119,151.9,2020,building requests
/library/about/,117,106.03,2020,About
/library/event-space/events-information.php,117,165.12,2020,event space info
/library/collections/bones/index.php,116,27.04,2020,Bones
/library/circulation/library-card-request.php,113,57.42,2020,lib card requests
/library/research-support/researcher.php,109,66.71,2020,researcher
/library/test/,109,172.89,2020,test
/library/dms/equipment/voice.php,107,54.19,2020,equip_voice
/library/collections/books/,106,56.8,2020,Books
/library/about/admin/policies.php,105,172.96,2020,policies
/library/building/inventorysurplus.php,105,86.14,2020,building inventory
/library/dms/equipment/projectors.php,104,101.9,2020,equip_projectors
/library/event-space/index.php,100,121.05,2020,event space
/library/,75273,288.54,2021,Home
/library/docdel/,7313,289.29,2021,DocDel
/library/libstaff/,1661,159.04,2021,Internal
/library/research-support/personallibrarians/,1650,197.82,2021,Personal Librarians
/library/collections/theses-dissertations/,1231,209.11,2021,ETD
/library/studyspaces/,1106,110.09,2021,Study Spaces
/library/about/employment/,873,254.69,2021,Jobs
/library/collections/books/index.php,834,135.81,2021,Books
/library/about/staff/index.php,697,51.84,2021,Staff
/library/about/admin/org_charts.php,475,155.67,2021,Org Chart
/library/technology/wifi.php,445,89.71,2021,Wi-Fi
/library/circulation/accounts.php,436,145.15,2021,Accounts
/library/research-support/citation/endnote/index.php,388,68.64,2021,EndNote
/library/technology/computing_resources.php,383,70.83,2021,Computing
/library/technology/ezproxy-error.php,326,109.54,2021,EZProxy
/library/docdel/index.php,297,328.1,2021,DocDel
/library/index.php,287,93.48,2021,Home
/library/about/staff/,284,82.93,2021,Staff
/library/dms/index.php,253,48.99,2021,DMS
/library/about/facility/parking.php,241,113.45,2021,Parking
/library/circulation/loan_periods.php,233,121.85,2021,Loan Period
/library/make/index.php,231,90.79,2021,Make
/library/crossroadsrecordingstudio/index.php,222,222.18,2021,Crossroads
/library/studyspaces/index.php,201,93.74,2021,Study Spaces
/library/dms/media-privileges.php,190,44.5,2021,media privileges
/library/help/ask.php,188,116.16,2021,Ask
/library/dms/policies.php,187,59.64,2021,DMS Policies
/library/technology/spc.php,187,138.69,2021,SPC
/library/about/index.php,177,96,2021,About
/library/building/floorplans.php,176,55.51,2021,floor plan
/library/lynda/,168,301.48,2021,Lydna
/library/about/facility/maps/index.php,163,43.18,2021,MapMenu
/library/dms/equipment/slr.php,153,35.52,2021,Equip_SLR
/library/research-support/courses/evaluation.php,153,345.48,2021,Course Evaluation
/library/crossroadsrecordingstudio/guidelines.php,149,533.38,2021,Crossroads guidelines
/library/about/employment/index.php,144,186.12,2021,Jobs
/library/about/facility/maps/ground.php,129,63.62,2021,maps ground
/library/circulation/patron_chart.php,125,58.34,2021,Patron Chart
/library/circulation/library-card-request.php,120,54.28,2021,lib card requests
/library/vrlab/index.php,117,165.56,2021,VR lab
/library/coursereserve/request.php,110,249.43,2021,Course Reserves Requests
/library/m/,110,4.57,2021,mobile
/library/research-support/citation/endnote/,110,45.78,2021,EndNote
/library/coursereserve/,106,41.74,2021,Course Reserves
/library/,94762,288.26,2022,Home
/library/docdel/,7360,302.86,2022,DocDel
/library/studyspaces/,4501,184.77,2022,Study Spaces
/library/research-support/personallibrarians/,1795,211.77,2022,Personal Librarians
/library/libstaff/,1458,266.4,2022,Internal
/library/technology/wifi.php,1411,135.59,2022,Wi-Fi
/library/studyspaces/index.php,1323,156.05,2022,Study Spaces
/library/about/employment/,1255,193.38,2022,Jobs
/library/collections/theses-dissertations/,1102,228.1,2022,ETD
/library/about/staff/index.php,645,78.76,2022,Staff
/library/circulation/accounts.php,553,164.67,2022,Accounts
/library/collections/books/,537,141.9,2022,Books
/library/about/admin/org_chart/org_charts.php,534,206.82,2022,Org Chart
